processed races: 500

=== 予想確率帯別（馬連） ===
             帯        N        Σ予想     実的中     実/予想     Σ(予想×OD)     Σ実払戻/100     実/想定
   0.000-0.005    10784       16.3      17    1.045       5047.2       2601.5    0.515
   0.005-0.010     2644       19.2      27    1.405       3744.4       1831.7    0.489
   0.010-0.020     2591       37.0      38    1.026       5886.6       1609.2    0.273
   0.020-0.050     2676       85.4      80    0.937      10050.1       1833.6    0.182
   0.050-0.100     1355       95.1      96    1.010       9286.0       1102.4    0.119
   0.100-0.200      774      107.1     123    1.149       9422.6        740.7    0.079
   0.200-1.000      393      119.9     105    0.876       8292.8        317.9    0.038

=== オッズ帯別（馬連） ===
             帯        N        Σ予想     実的中     実/予想     Σ(予想×OD)     Σ実払戻/100     実/想定
          1-10     1560       84.6      80    0.946        499.5        843.4    1.688
         10-30     3316      126.1     121    0.959       2371.8       2303.2    0.971
        30-100     5573      141.6     150    1.059       8110.1       2854.5    0.352
       100-300     5113       87.2      98    1.124      15344.1       3049.0    0.199
      300-1000     4017       35.6      33    0.927      17648.6        792.5    0.045
         1000+     1638        4.9       4    0.815       7755.6        194.4    0.025
